标题,作者,期刊,年份,干预措施数量,联合措施类型,主穴1,主穴2,主穴3,主穴4,主穴5,主穴6,主穴7,主穴8,主穴9,主穴10,主穴11
耳穴贴压联合术前健康宣教在高血压患者眼科手术中的应用效果分析,朱婕,现代养生（上半月版）,2022,2,健康教育,降压沟,神门,内分泌,脑,肾,,,,,,
针刺联合耳穴贴压治疗对肥胖型高血压患者血压、肥胖指标及症状积分的影响,赵琳,四川中医,2022,2,针刺,降压沟,神门,心,交感,,,,,,,
耳穴压豆治疗痰湿质高血压患者的临床研究,杨帆,现代医学与健康研究电子杂志,2022,1,无,降压点,内分泌,皮质下,心,神门,脾,,,,,
耳穴压豆联合耳尖放血干预肝阳上亢型高血压患者的效果观察,王景平,药店周刊,2022,2,耳尖放血,肝,心,神门,降压沟,,,,,,,
降压汤配合耳穴压豆治疗原发性高血压临床研究,倪敏,新中医,2022,2,中药汤剂,神门,肾,交感,心,降压沟,,,,,,
耳穴压豆中医护理在高血压病患者中的应用效果分析,吕福兰,中华养生保健,2022,1,无,降压沟,心,神门,耳尖,肝,肾,,,,,
耳穴贴压配合中医护理治疗顽固性高血压的效果评价,卢芳,健康之友,2022,2,中医护理,神门,心,肾上腺,肾,肝,耳尖,降压沟,内分泌,,,
中药穴位贴敷联合耳穴压豆在老年高血压性失眠症患者护理中的应用效果,梁惠行,中国社区医师,2022,2,穴位贴敷,神门,交感,心,脑,内分泌,,,,,,
耳穴埋豆结合五行情志干预对原发性高血压伴焦虑患者睡眠质量、血压控制及应对方式的影响,李晓,临床医学研究与实践,2022,2,五行情志,心,神门,皮质下,交感,胸,,,,,,
中医耳穴压贴与针灸技术对社区老年性高血压进行治疗的临床效果评价,李秋慧,益寿宝典,2022,2,针灸,降压点,心,额,皮质下,肝,交感,,,,,
耳穴压豆联合心理干预在老年高血压伴失眠患者中的应用,何萍,海南医学,2022,2,心理干预,心,降压点,神门,脾,肝,,,,,,
耳穴贴压联合心理干预对改善原发性高血压患者睡眠质量的研究,高永红,贵州医药,2022,2,心理干预,内分泌,降压沟,肝,神门,降压点,,,,,,
耳穴压豆联合穴位贴敷中医护理在高血压病患者中的护理效果,高剑萍,健康大视野,2022,2,穴位贴敷,耳尖,降压沟,神门,,,,,,,,
耳穴刺血联合耳穴贴压对高血压3级患者的临床应用效果研究,杜爱芹,临床医学工程,2022,2,耳穴刺血,降压沟,耳尖,神门,交感,额,皮质下,,,,,
柴胡龙骨牡蛎汤加减联合耳穴压籽治疗原发性高血压肝阳上亢证的临床疗效,左天伟,内蒙古中医药,2021,2,中药汤剂,心,肝,脾,胃,神门,降压沟,降压点,,,,
耳穴压丸对高血压患者治疗效果的影响,邹秋萍,医疗装备,2021,1,无,心,肝,肾,神门,交感,内分泌,降压沟,,,,
耳穴贴压配合中医膳食调节在高血压患者护理的实施价值,赵怡婷,健康必读,2021,2,中医膳食,神门,心,肾,交感,降压沟,,,,,,
健脾平肝降压汤联合耳穴压豆治疗高血压的临床效果,赵小麟,内蒙古中医药,2021,2,中药汤剂,肝,脾,神门,降压沟,,,,,,,
子午流注择时耳穴压豆在眩晕肝阳上亢证中的应用,赵晨静,东方药膳,2021,1,无,神门,交感,皮质下,降压沟,,,,,,,
耳穴压豆中医护理在阴虚火旺型高血压患者中的疗效观察,张璐璐,中医外治杂志,2021,1,无,神门,交感,降压沟,心,肝,肾,,,,,
耳穴埋籽法在临床中对高血压眩晕患者的应用,张娟,母婴世界,2021,1,无,神门,降压沟,皮质下,内分泌,交感,,,,,,
中医耳穴贴压与针灸技术治疗社区老年原发性高血压的临床分析,张杰强,养生大世界,2021,2,针灸,神门,降压沟,降压点,高血压点,内分泌,肝,脾,,,,
耳穴压籽联合柴胡龙骨牡蛎汤治疗肝阳上亢型原发性高血压的临床研究,张红梅,光明中医,2021,2,中药汤剂,心,肝,脾,胃,降压沟,耳迷根,降压点,神门,,,
高血压患者采取耳穴埋豆联合穴位贴敷中医护理的效果,俞月贤,中西医结合心血管病电子杂志,2021,2,穴位贴敷,皮质下,心,肝,肾,降压沟,,,,,,
穴位敷贴联合耳穴贴压在原发性高血压中的应用,俞亚菊,新中医,2021,2,穴位贴敷,降压沟,神门,高血压点,降压点,内分泌,脾,胃,肺,,,
耳穴压豆联合穴位按摩在高血压伴失眠患者中的应用效果,杨洋,光明中医,2021,2,穴位按摩,心,神门,降压沟,脾,肝,,,,,,
降压敷贴联合耳穴埋豆治疗原发性高血压的疗效及安全性研究,杨伟锋,养生保健指南,2021,2,穴位贴敷,心,肝,肾,皮质下,降压沟,,,,,,
耳穴压豆联合穴位贴敷中医护理在高血压病患者中的护理效果分析,杨朋,母婴世界,2021,2,穴位贴敷,降压点,耳尖,心,肾,神门,肝,,,,,
耳穴贴压配合中医护理治疗顽固性高血压的效果观察,杨家卿,健康女性,2021,2,中医护理,肝,降压沟,内分泌,神门,耳,心,肾,肾上腺,,,
耳穴压豆配合情志护理联合常规医护措施治疗老年H型高血压临床研究,吴珍,新中医,2021,2,情志护理,神门,交感,降压沟,心,肾,,,,,,
高血压患者采取耳穴压豆联合穴位贴敷中医护理的效果,王秋玉,特别健康,2021,2,穴位贴敷,降压沟,心,神门,耳尖,肾,肝,,,,,
循证护理联合耳穴贴压对老年高血压患者血压变异性的影响,王莉,中西医结合护理(中英文),2021,2,循证护理,神门,交感,降压沟,皮质下,,,,,,,
五音疗法配合耳穴压豆对肝阳上亢型高血压患者的影响,王胡君,养生大世界,2021,2,五音疗法,降压沟,交感,神门,肝,心,,,,,,
推拿联合耳穴贴压在原发性高血压患者中的应用,万丽霞,饮食保健,2021,2,推拿,神门,降压沟,耳尖,肝,肾,皮质下,交感,,,,
耳穴压豆改善老年高血压患者血压水平和睡眠质量的效果研究,谭丽梅,智慧健康,2021,1,无,耳尖,降压沟,神门,,,,,,,,
山楂降脂丸联合耳穴压豆疗法治疗H型高血压患者的临床效果及其对肾素-血管紧张素-醛固酮系统、颈动脉粥样硬化指标的影响,孙东建,广西医学,2021,2,中药丸,降压沟,神门,心,肝,脾,肾,,,,,
加味温胆汤联合耳穴压豆治疗痰湿壅盛型高血压的临床观察,孙东建,广州中医药大学学报,2021,2,中药汤剂,降压沟,降压点,心,神门,耳尖,,,,,,
桑藤降压足浴方联合耳穴埋籽治疗阴虚阳亢型高血压疗效观察,任一欣,中国社区医师,2021,2,中药足浴,神门,耳尖,肝阳,肝,枕,,,,,,
耳穴压豆疗法联合平肝降压汤对高血压患者血压变异性的影响,饶文娟,中医外治杂志,2021,2,中药汤剂,降压沟,降压点,肾,神门,皮质下,肝,,,,,
